length,policy_sha256,valid,unconstrained,excluded,fraction_numerator,fraction_denominator,entropy_bits_floor,entropy_bits_ceiling,dp_cells_upper_bound,dp_transitions_upper_bound
8,sha256:1147a3e1e23b038a44892960665003fa5ef20e6cffd972491c29bc8af8ab5451,2807657387458560,6095689385410816,3288031997952256,10967411669760,23811286661761,51,52,144,576
9,sha256:8f7b3ae6e83ad69eed860743d0cf281e886fa0da0994c66f569cdbdd9010fe0a,307266736839229440,572994802228616704,265728065389387264,12768730752960,23811286661761,58,59,160,640
10,sha256:8c16279becf359546451a53063577ad518d78ad3595cfba8901fe3c2f74c7889,32333391317360640000,53861511409489970176,21528120092129330176,31575577458360000,52599132235830049,64,65,176,704
11,sha256:a530a71ac2ec6bbc583c558b0aa982187db692033c156a89561d9ec9f18ab1fe,3312709082285083852800,5062982072492057196544,1750272990206973343744,34415611310308800,52599132235830049,71,72,192,768
12,sha256:4694753899f7dde1e51f71abf2f78931eee5ae6284de9dbb1a000fd18aed3b1b,333061772956016262512640,475920314814253376475136,142858541858237113962496,81313909413089907840,116191483108948578241,78,79,208,832
13,sha256:84659b5c2a3341d018edbe484f7d8c676b97c6bd6871a62dcca520d2fb2b9e6a,33030645793985911054663680,44736509592539817388662784,11705863798553906333999104,85788537322312144320,116191483108948578241,84,85,224,896
14,sha256:ec177749ea6c58ba83152f4b4195e086ac6ec85fc641fc749ca35b5d42da9727,3242521288895454151468646400,4205231901698742834534301696,962710612803288683065655296,197907793511685434049600,256666986187667409334369,91,92,240,960
15,sha256:810b326536c30d11ac05b2a5f6deeb20d68049ff43dc6a75bc76d63577c2c25d,315853215942003667374440448000,395291798759681826446224359424,79438582817678159071783911424,205086706245587072088000,256666986187667409334369,97,98,256,1024
16,sha256:f9c2426d49ef5f0d87c5774ce37b4ef130292046bdb8982b03df2519ef975013,30583281110353122281067034705920,37157429083410091685945089785856,6574147973056969404878055079936,466663835302019077775070720,566977372488557307219621121,104,105,272,1088
17,sha256:a57f416f88ae708692fddbf35dd951d2d326c034bc542fec5e9a800f3ac94e6d,2947357744348066399701281821163520,3492798333840548618478838439870464,545440589492482218777556618706944,478437341624818582689209280,566977372488557307219621121,111,112,288,1152
18,sha256:b488c2c3770dc6f93e886ba8bd10599def02d017921635f59a174ee8ec3d5346,282971429941866757422641518844313600,328323043381011570137010813347823616,45351613439144812714369294503510016,1079450340049235372248235774400,1252453015827223091648143056289,117,118,304,1216
19,sha256:022325be553ceca1dc3f87414dd16ddbd2d7eb1295b8c711333f1705e1668eed,27084663151927836389497369109358182400,30862366077815087592879016454695419904,3777702925887251203381647345337237504,1099146707085460759812106238400,1252453015827223091648143056289,124,125,320,1280
20,sha256:734de6db732f235efeeb9c753e7449343fdb2cca7475a6bbf200806d498cb950,2585908648140078948280078326668093030400,2901062411314618233730627546741369470976,315153763174539285450549220073276440576,2466114662303999851493910147350400,2766668711962335809450748011342401,130,131,336,1344
21,sha256:e0c947c95748571671b0d6548e55f02130b4e6a6225a911ec692ddbc637674fe,246375112359017957263697608008493128744960,272699866663574113970678989393688730271744,26324754304556156706981381385195601526784,2499591668707441342776862692411840,2766668711962335809450748011342401,137,138,352,1408
22,sha256:97e5da6ef10b1b82d8d22fa72f1db14f44ba968f6290ed282aa7a6c4c865ced6,23432597687432764367147824708633010739609600,25633787466375966713243825003006740645543936,2201189778943202346096000294373729905934336,5586766645296279041087108781011822400,6111571184724799803076702357055363809,144,145,368,1472
23,sha256:e5e58d5b684e3227f7c402d4749773f65f646ba4ee6d23b573e792578d2dcb2d,2225362575608773844140654758922978729132032000,2409576021839340871044919550282633620681129984,184213446230567026904264791359654891549097984,5644338119813162834443068907420632000,6111571184724799803076702357055363809,150,151,384,1536
24,sha256:655550099935917377e9344062ab84ef044aff63845555f00bfab831d8188d7f,211072895008290065994292223546959488763381678080,226500146052898041878222437726567560344026218496,15427251044607975883930214179608071580644540416,12580924928682450413363708469090431258880,13500460747057082764996435506735298654081,157,158,400,1600
25,sha256:1bb53667788f535fd838f3e5d522ba78f06c83bed9d735c331863e2600456139,19998296974042331925265852771405188080414490624000,21291013728972415936552909146297350672338464538624,1292716754930084011287056374892162591923973914624,12680759438835770478442534976440026456000,13500460747057082764996435506735298654081,163,164,416,1664
26,sha256:56ff5436f8c482e4ff87d615ea1c34aae6065bfb79bbd5d17c1c03ee86c07e57,1892982599195321542706623291332448458250033456742400,2001355290523407098035973459751950963199815666630656,108372691328085555329350168419502504949782209888256,28207638847758196930685986449307925377041600,29822517790249095827877126034378274726864929,170,171,432,1728
27,sha256:54d688aa1e63893ed704d4f80c1f16765bbacaac3b291af887c6f6055d261726,179038728601340057420290928742684962125863612894412800,188127397309200267215381505216683390540782672663281664,9088668707860209795090576473998428414919059768868864,28381754838618201369346920597852063008740800,29822517790249095827877126034378274726864929,176,177,448,1792
28,sha256:ecfcd378a7ef053a0dcab775bc1c1b084935ca3da87ae98cbb531a699b60413e,16921521122119770418138783495914599442273736965708840960,17683975347064825118245861490368238710833571230348476416,762454224945054700107077994453639268559834264639635456,63037578471451142497877715140262989112264428160,65877941798660252683780571409941608871644628161,183,184,464,1856
29,sha256:4bcb1d609d58c3d4a134d6bf5e546cb8b57ee8f83057624bae0644107ac5f5de,1598315012802154054822163899629416640287796217437109616640,1662293682624093561115110980094614438818355695652756783104,63978669821939506292947080465197798530559478215647166464,63342419266786111432431380626266649440239885760,65877941798660252683780571409941608871644628161,190,191,480,1920
30,sha256:274142998d55c08ceea5cbf84ec26812f3055c28ebc05e2b8cbd7299a90e7dd1,150885979518767448611878075674950583388842181957685084160000,156255606166664794744820432128893757248925435391359137611776,5369626647897346132942356453943173860083253433674053451776,140523518918796860251462157512968949404398148840000,145524373433240498178471282244561013997462983607649,196,197,496,1984
31,sha256:b3d9e5f14a58134066997477401b4916d2124565bf9d32f3703f2e9553557a63,14237289379181759150598532982968000036625168993747804671180800,14688026979666490706013120620116013181398990926787758935506944,450737600484731555414587637148013144773821933039954264326144,141058606384735783825594109334130870897889305636800,145524373433240498178471282244561013997462983607649,203,204,512,2048
32,sha256:fa489752e317f419c7f8f08474304f4eb896386435ee423a6646b1b8ba6f61fd,1342833693314642788844109256525871048073900913411074915607511040,1380674536088650126365233338290905239051505147118049339937652736,37840842774007337521124081765034190977604233706974424330141696,312652833134551250572341786819945799204032149494410240,321463340914028260476243062478235279920395730789296641,209,210,528,2112
